"75 Stutson Street Center, 75 Stutson St"
"Adeline Park, 124 Armstrong Rd"
"Aenon Miss Baptist Church Moran St Ent, 175 Genesee St"
"Aldersgate United Methodist Church, 4115 Dewey Ave"
"American Legion Braman Post 1229, 1707 Penfield Rd"
"Ark of Jesus Ministries, 1000 N Winton Rd"
"Arnett Branch Library, 310 Arnett Blvd"
"Artisan Church, 1235 S Clinton Ave"
"Asbury First United Methodist Church, 1050 East Ave"
"Avenue D Recreation Center, 200 Avenue D"
"Bethany Presbyterian Church BSMT, 3000 Dewey Ave"
"Braddock Bay Lodge, 198 East Manitou Rd"
"Brighton Farmers Market, 1435 Westfall Rd"
"Brighton Town Hall Auditorium, 2300 Elmwood Ave"
"Brighton Town Park, 777 Westfall Rd"
"Browncroft Community Church, 2530 Browncroft Blvd"
"Calvary Church, 85 Kuhn Rd"
"Calvary Chapel of Webster North Entrance, 770 Basket Rd"
"Campbell St Recreation Center, 524 Campbell St"
"Carter St Recreation Center, 500 Carter St"
"Chili Community Center, 3237 Chili Ave"
"Chili Town Hall, 3333 Chili Ave"
"Church of St John of Rochester Parish CE, 10 Wickford Way"
"Church of the Assumption Fellowship Hall, 20 East Ave"
"Church of the Holy Spirit, 1335 Hatch Rd"
"Church of the Resurrection, 63 Mason Rd"
"Church of the Transfiguration, 50 W Bloomfield Rd"
"Clifton Fire House, 53 Wheatland Center Rd"
"College Green Apartments, 45 College Green Dr"
"Community Christian Church, 2647 Chili Ave"
"Community Place of Greater Rochester, 145 Parsells Ave"
"Cornerstone Bible Chapel Comm Room, 3231 Buffalo Rd"
"Crosstown Alliance Church, 595 English Rd"
"Culver Station, 2960 Culver Rd"
"Danforth Towers, 160 West Ave"
"David F Gantt Community Center, 700 North St"
"Dolomite Lodge at Veterans Memorial Park, 3100 Atlantic Ave"
"Dome Arena, 2695 E Henrietta Rd"
"E L Tower Apts Comm Room, 500 South Ave"
"East High School Auditorium Foyer, 1801 E Main St"
"East Rochester Municipal Center Community Room, 317 Main St"
"Edgerton Recreation Center, 41 Backus St"
"Egypt Fire House, 7478 Pittsford Palmyra Rd"
"Eisenhart Auditorium Lobby, 657 East Ave"
"Empire State University, 680 Westfall Rd"
"Empire Station Meeting Hall, 405 Empire Blvd"
"Encounter Church, 3355 Union St"
"Engine 9, 740 N Goodman St"
"Engine 16, 704 Hudson Ave"
"Faith Bible Church, 1095 East Henrietta Rd"
"Fellows Rd Park Recreation Building, 499 Fellows Rd"
"Finn Park Liberty Lodge, 850 Maple Dr"
"Fire Hall No. 2 Lower Level Meeting Room, 465 Mendon Rd"
"Fire House No. 1 Meeting Room, 3100 East Ave"
"First Bible Baptist Church, 990 Manitou Rd"
"Former Marshall High School, 180 Ridgeway Ave"
"Frederick Douglass Mid School Gym, 940 Fernwood Park"
"Gates Fire House No. 2 Community Room, 2215 Long Pond Road"
"Gates Town Hall Community Center, 1605 Buffalo Rd"
"Gates Town Hall Annex Meeting Room, 1605 Buffalo Rd"
"Gates-Chili Fire House No. 1, 2355 Chili Ave"
"Genesee Park Blvd 7th Day Adventist Church, 391 Genesee Park Blvd"
"Glenwood Apts Community Room, 41 Kestrel St"
"Grace Church, 805 Blossom Rd"
"Grace Church of the Nazarene, 2924 Union St"
"Grace Covenant Church, 224 Chestnut Ridge Rd"
"Greater Harvest Church, 121 Driving Park Ave"
"Greece Assembly of God, 750 Long Pond Rd"
"Greece Baptist Church Fellowship Hall, 1230 Long Pond Rd"
"Greece Canal Park -- Millenium Lodge, 241 Elmgrove Rd"
"Greece Community and Senior Center, 3 Vince Tofany Blvd"
"Greece Post 468, 344 Dorsey Rd"
"Greece United Methodist Church, 1924 Maiden Ln"
"Greek Orthodox Church, 835 South Ave"
"Hamlin Firemen's Exempt Building, 1382 Lake Rd"
"Hamlin Town Hall Gym, 1658 Lake Rd"
"Harris Beach LLP Cafeteria, 99 Garnsey Rd"
"Harris-Whalen Park Lower Shelter, Harris-Whalen Park Rd"
"Henrietta Fire District Station 1, 3129 East Henrietta Rd"
"Henrietta Public Library, 625 Calkins Rd"
"Henrietta Recreation Center, 605 Calkins Rd"
"Henrietta Senior Center, 515 Calkins Rd"
"Henrietta Town Hall, 475 Calkins Rd"
"Hidden Valley Clubhouse, 199 Hidden Valley Rd"
"Highlands at Pittsford Hahnemann Club, 301 Stoutenburgh Lane"
"Hilton Baptist Church, 50 Lake Ave"
"Hilton Fire Dept Exempt Club, 137 South Ave"
"Irondequoit Community Center, 450 Skyview Centre Parkway Suite 200"
"Irondequoit Public Library, 1290 Titus Ave"
"Irondequoit United Church of Christ, 644 Titus Ave"
"Jewish Community Center, 1200 Edgewood Ave"
"Josana Stadium, 370 Jay St"
"Journey Christian Church, 3995 Mt Read Blvd"
"Kennedy Towers, 666 S Plymouth Ave"
"Kidanemehret Ethiopian Orthodox Church, 120 Ontario St"
"Kimball Park Lodge, 8000 West Ridge Rd"
"Kings Bend Park North Lodge, 170 West Jefferson Rd"
"Kings Bend Park South Lodge, 170 West Jefferson Rd"
"La Grange Recreation Center, 455 La Grange Ave"
"Lake Tower Community Room, 321 Lake Ave"
"Lakeshore Community Church Front Atrium, 3651 Latta Rd"
"Lakeview Community Church Meeting Room, 30 Long Pong Rd"
"Lakeview Highrise TV Room, 4575 Lake Ave"
"Legacy at Clover Blossom Front Parlor, 100 McAuley Drive"
"Legacy at Erie Station, 1545 Erie Station Rd"
"Legacy at Park Crescent Front Living Room, 1000 Providence Circle"
