Name,Address
75 Stutson Street Center,"75 Stutson St, Rochester, NY 14612, USA"
Adeline Park,"124 Armstrong Rd, Rochester, NY 14616, USA"
Aenon Miss Baptist Church Moran St Ent,"175 Genesee St, Rochester, NY 14611, USA"
Aldersgate United Methodist Church,"4115 Dewey Ave, Rochester, NY 14616, USA"
American Legion Braman Post 1229,"1707 Penfield Rd, Penfield, NY 14526, USA"
Ark of Jesus Ministries,"1000 Winton Rd N, Rochester, NY 14609, USA"
Arnett Branch Library,"310 Arnett Blvd, Rochester, NY 14619, USA"
Artisan Church,"1235 S Clinton Ave, Rochester, NY 14620, USA"
Asbury First United Methodist Church,"1050 East Ave, Rochester, NY 14607, USA"
Avenue D Recreation Center,"200 Ave D, Rochester, NY 14621, USA"
Bethany Presbyterian Church BSMT,"3000 Dewey Ave, Rochester, NY 14616, USA"
Braddock Bay Lodge,"199 E Manitou Rd, Hilton, NY 14468, USA"
Brighton Farmers Market,"1435 Westfall Rd, Rochester, NY 14618, USA"
Brighton Town Hall Auditorium,"2300 Elmwood Ave, Rochester, NY 14618, USA"
Brighton Town Park,"777 Westfall Rd, Brighton, NY 14620, USA"
Browncroft Community Church,"2530 Browncroft Blvd, Rochester, NY 14625, USA"
Calvary Church,"85 Kuhn Rd, Rochester, NY 14612, USA"
Calvary Chapel of Webster North Entrance,"770 Basket Rd, Webster, NY 14580, USA"
Campbell St Recreation Center,"524 Campbell St, Rochester, NY 14611, USA"
Carter St Recreation Center,"500 Carter St, Rochester, NY 14621, USA"
Chili Community Center,"3237 Chili Ave, Rochester, NY 14624, USA"
Chili Town Hall,"3333 Chili Ave, Rochester, NY 14624, USA"
Church of St John of Rochester Parish CE,"8 Wickford Way, Fairport, NY 14450, USA"
Church of the Assumption Fellowship Hall,"20 East Ave, Rochester, NY 14604, USA"
Church of the Holy Spirit,"1355 Hatch Rd, Webster, NY 14580, USA"
Church of the Resurrection,"63 Mason Rd, Fairport, NY 14450, USA"
Church of the Transfiguration,"50 W Bloomfield Rd, Pittsford, NY 14534, USA"
Clifton Fire House,"53 Wheatland Center Rd, Clifton, NY 14428, USA"
College Green Apartments,"45 College Greene Dr, North Chili, NY 14514, USA"
Community Christian Church,"2647 Chili Ave, Rochester, NY 14624, USA"
Community Place of Greater Rochester,"145 Parsells Ave, Rochester, NY 14609, USA"
Cornerstone Bible Chapel Comm Room,"3231 Buffalo Rd, Rochester, NY 14624, USA"
