,Name,Address,Latitude,Longitude
0,75 Stutson Street Center,"75 Stutson St, Rochester, NY 14612, USA",43.2499134,-77.6138344
1,Adeline Park,"124 Armstrong Rd, Rochester, NY 14616, USA",43.2449559,-77.6329282
2,Aenon Miss Baptist Church Moran St Ent,"175 Genesee St, Rochester, NY 14611, USA",43.1467803,-77.6366537
3,Aldersgate United Methodist Church,"4115 Dewey Ave, Rochester, NY 14616, USA",43.2463231,-77.6474506
4,American Legion Braman Post 1229,"1707 Penfield Rd, Penfield, NY 14526, USA",43.1292747,-77.48694119999999
5,Ark of Jesus Ministries,"1000 Winton Rd N, Rochester, NY 14609, USA",43.164538,-77.54426219999999
6,Arnett Branch Library,"310 Arnett Blvd, Rochester, NY 14619, USA",43.1425406,-77.641869
7,Artisan Church,"1235 S Clinton Ave, Rochester, NY 14620, USA",43.1341536,-77.5921683
8,Asbury First United Methodist Church,"1050 East Ave, Rochester, NY 14607, USA",43.1510168,-77.5759569
9,Avenue D Recreation Center,"200 Ave D, Rochester, NY 14621, USA",43.1806272,-77.6191552
10,Bethany Presbyterian Church BSMT,"3000 Dewey Ave, Rochester, NY 14616, USA",43.2245091,-77.64184449999999
11,Braddock Bay Lodge,"199 E Manitou Rd, Hilton, NY 14468, USA",43.3042592,-77.7135741
12,Brighton Farmers Market,"1435 Westfall Rd, Rochester, NY 14618, USA",43.11290200000001,-77.58143799999999
13,Brighton Town Hall Auditorium,"2300 Elmwood Ave, Rochester, NY 14618, USA",43.1265801,-77.575583
14,Brighton Town Park,"777 Westfall Rd, Brighton, NY 14620, USA",43.1121542,-77.6041384
15,Browncroft Community Church,"2530 Browncroft Blvd, Rochester, NY 14625, USA",43.1553721,-77.5011662
16,Calvary Church,"85 Kuhn Rd, Rochester, NY 14612, USA",43.2781064,-77.7043079
17,Calvary Chapel of Webster North Entrance,"770 Basket Rd, Webster, NY 14580, USA",43.2236555,-77.3864518
18,Campbell St Recreation Center,"524 Campbell St, Rochester, NY 14611, USA",43.1576367,-77.64247089999999
19,Carter St Recreation Center,"500 Carter St, Rochester, NY 14621, USA",43.1861725,-77.5908656
20,Chili Community Center,"3237 Chili Ave, Rochester, NY 14624, USA",43.101795,-77.74613099999999
21,Chili Town Hall,"3333 Chili Ave, Rochester, NY 14624, USA",43.0995766,-77.75958469999999
22,Church of St John of Rochester Parish CE,"8 Wickford Way, Fairport, NY 14450, USA",43.0760151,-77.47629189999999
23,Church of the Assumption Fellowship Hall,"20 East Ave, Rochester, NY 14604, USA",43.156908,-77.6012413
24,Church of the Holy Spirit,"1355 Hatch Rd, Webster, NY 14580, USA",43.183136,-77.4857694
25,Church of the Resurrection,"63 Mason Rd, Fairport, NY 14450, USA",43.0776251,-77.4107631
26,Church of the Transfiguration,"50 W Bloomfield Rd, Pittsford, NY 14534, USA",43.0576446,-77.52154759999999
27,Clifton Fire House,"53 Wheatland Center Rd, Clifton, NY 14428, USA",43.0555341,-77.8144361
28,College Green Apartments,"45 College Greene Dr, North Chili, NY 14514, USA",43.1203256,-77.79196069999999
29,Community Christian Church,"2647 Chili Ave, Rochester, NY 14624, USA",43.124918,-77.7037579
30,Community Place of Greater Rochester,"145 Parsells Ave, Rochester, NY 14609, USA",43.16535469999999,-77.5751062
31,Cornerstone Bible Chapel Comm Room,"3231 Buffalo Rd, Rochester, NY 14624, USA",43.141811,-77.7397096
32,Crosstown Alliance Church,"595 English Rd, Rochester, NY 14616, USA",43.2378966,-77.6647598
33,Culver Station,"2960 Culver Rd, Rochester, NY 14622, USA",43.2021522,-77.561315
34,Danforth Towers,"160 West Ave, Rochester, NY 14611, USA",43.1503942,-77.6424041
35,David F Gantt Community Center,"700 North St, Rochester, NY 14605",43.1706978,-77.59659570000001
36,Dolomite Lodge at Veterans Memorial Park,"3100 Atlantic Ave, Penfield, NY 14526, USA",43.1614954,-77.44821019999999
37,Dome Arena,"2695 E Henrietta Rd, Henrietta, NY 14467, USA",43.0656319,-77.6132472
38,E L Tower Apts Comm Room,"500 South Ave, Rochester, NY 14620, USA",43.1464625,-77.6052498
39,East High School Auditorium Foyer,"1801 E Main St, Rochester, NY 14609, USA",43.1590839,-77.5627976
40,East Rochester Municipal Center Community Room,"317 Main St, East Rochester, NY 14445, USA",43.1124532,-77.4855299
41,Edgerton Recreation Center,"41 Backus St, Rochester, NY 14608, USA",43.1714347,-77.6329457
42,Egypt Fire House,"7478 Pittsford Palmyra Rd, Fairport, NY 14450, USA",43.0650112,-77.4064982
43,Eisenhart Auditorium Lobby,"657 East Ave, Rochester, NY 14607, USA",43.1525421,-77.5874632
44,Empire State University,"680 Westfall Rd, Rochester, NY 14620",43.1155373,-77.6041841
45,Empire Station Meeting Hall,"405 Empire Blvd, Irondequoit, NY 14609, USA",43.1764565,-77.54590979999999
46,Encounter Church,"3355 Union St, North Chili, NY 14514, USA",43.1131706,-77.8044914
47,Engine 9,"740 N Goodman St, Rochester, NY 14609, USA",43.1676508,-77.5799653
48,Engine 16,"704 Hudson Ave #16, Rochester, NY 14621, USA",43.1775157,-77.59854070000002
49,Faith Bible Church,"1095 E Henrietta Rd, Rochester, NY 14623, USA",43.0989757,-77.615888
50,Fellows Rd Park Recreation Building,"499 Fellows Rd, Fairport, NY 14450, USA",43.1096645,-77.4241851
51,Finn Park Liberty Lodge,"850 Maple Dr, Webster, NY 14580, USA",43.2176501,-77.4995362
52,Fire Hall No. 2 Lower Level Meeting Room,"465 Mendon Rd, Pittsford, NY 14534, USA",43.0597433,-77.52057479999999
53,Fire House No. 1 Meeting Room,"3100 East Ave, Rochester, NY 14610, USA",43.1282249,-77.5277941
54,First Bible Baptist Church,"990 Manitou Rd, Hilton, NY 14468, USA",43.2663625,-77.7475328
55,Former Marshall High School,"180 Ridgeway Ave, Rochester, NY 14615, USA",43.1946129,-77.6345539
56,Frederick Douglass Mid School Gym,"940 Fernwood Park, Rochester, NY 14609, USA",43.180193,-77.5642704
57,Gates Fire House No. 2 Community Room,"2215 Long Pond Rd, Rochester, NY 14606, USA",43.16906729999999,-77.70214779999999
58,Gates Town Hall Community Center,"1605 Buffalo Rd, Rochester, NY 14624, USA",43.1492458,-77.69378429999999
59,Gates Town Hall Annex Meeting Room,"1605 Buffalo Rd, Rochester, NY 14624, USA",43.1492458,-77.69378429999999
60,Gates-Chili Fire House No. 1,"2355 Chili Ave #1, Rochester, NY 14624, USA",43.1288093,-77.6955525
61,Genesee Park Blvd 7th Day Adventist Church,"391 Genesee Park Blvd, Rochester, NY 14619, USA",43.126421,-77.6504252
62,Glenwood Apts Community Room,"41 Kestrel St, Rochester, NY 14613, USA",43.1757068,-77.6439793
63,Grace Church,"805 Blossom Rd, Rochester, NY 14610, USA",43.14883,-77.5499833
64,Grace Church of the Nazarene,"2924 S Union St, Rochester, NY 14624, USA",43.1367765,-77.8056798
65,Grace Covenant Church,"224 Chestnut Ridge Rd, Rochester, NY 14624, USA",43.117187,-77.7494534
66,Greater Harvest Church,"121 Driving Park Ave, Rochester, NY 14613, USA",43.1806647,-77.6331184
67,Greece Assembly of God,"750 Long Pond Rd, Rochester, NY 14612, USA",43.248119,-77.69536959999999
68,Greece Baptist Church Fellowship Hall,"1230 Long Pond Rd, Rochester, NY 14626, USA",43.2120199,-77.6940079
69,Greece Canal Park -- Millenium Lodge,"241 Elmgrove Rd, Rochester, NY 14626, USA",43.19671,-77.73298799999999
70,Greece Community and Senior Center,"3 Vince Tofany Blvd, Rochester, NY 14612, USA",43.2582894,-77.6978352
71,Greece Post 468,"344 Dorsey Rd, Rochester, NY 14616, USA",43.2317192,-77.65669969999999
72,Greece United Methodist Church,"1924 Maiden Ln # 1, Rochester, NY 14626, USA",43.2242491,-77.6950397
73,Greek Orthodox Church,"835 South Ave, Rochester, NY 14620, USA",43.1385654,-77.6066833
74,Hamlin Firemen's Exempt Building,"1382 Lake Rd N, Hamlin, NY 14464, USA",43.30627399999999,-77.9195577
