,Addresses,Formatted,Names
0,"75 Stutson Street Center, 75 Stutson St","75 Stutson St, Rochester, NY 14612, USA",75 Stutson Street Center
1,"Adeline Park, 124 Armstrong Rd","124 Armstrong Rd, Rochester, NY 14616, USA",Adeline Park
2,"Aenon Miss Baptist Church Moran St Ent, 175 Genesee St","175 Genesee St, Rochester, NY 14611, USA",Aenon Miss Baptist Church Moran St Ent
3,"Aldersgate United Methodist Church, 4115 Dewey Ave","4115 Dewey Ave, Rochester, NY 14616, USA",Aldersgate United Methodist Church
4,"American Legion Braman Post 1229, 1707 Penfield Rd","1707 Penfield Rd, Penfield, NY 14526, USA",American Legion Braman Post 1229
5,"Ark of Jesus Ministries, 1000 N Winton Rd","1000 Winton Rd N, Rochester, NY 14609, USA",Ark of Jesus Ministries
6,"Arnett Branch Library, 310 Arnett Blvd","310 Arnett Blvd, Rochester, NY 14619, USA",Arnett Branch Library
7,"Artisan Church, 1235 S Clinton Ave","1235 S Clinton Ave, Rochester, NY 14620, USA",Artisan Church
8,"Asbury First United Methodist Church, 1050 East Ave","1050 East Ave, Rochester, NY 14607, USA",Asbury First United Methodist Church
9,"Avenue D Recreation Center, 200 Avenue D","200 Ave D, Rochester, NY 14621, USA",Avenue D Recreation Center
10,"Bethany Presbyterian Church BSMT, 3000 Dewey Ave","3000 Dewey Ave, Rochester, NY 14616, USA",Bethany Presbyterian Church BSMT
11,"Braddock Bay Lodge, 198 East Manitou Rd","199 E Manitou Rd, Hilton, NY 14468, USA",Braddock Bay Lodge
12,"Brighton Farmers Market, 1435 Westfall Rd","1435 Westfall Rd, Rochester, NY 14618, USA",Brighton Farmers Market
13,"Brighton Town Hall Auditorium, 2300 Elmwood Ave","2300 Elmwood Ave, Rochester, NY 14618, USA",Brighton Town Hall Auditorium
14,"Brighton Town Park, 777 Westfall Rd","777 Westfall Rd, Brighton, NY 14620, USA",Brighton Town Park
15,"Browncroft Community Church, 2530 Browncroft Blvd","2530 Browncroft Blvd, Rochester, NY 14625, USA",Browncroft Community Church
16,"Calvary Church, 85 Kuhn Rd","85 Kuhn Rd, Rochester, NY 14612, USA",Calvary Church
17,"Calvary Chapel of Webster North Entrance, 770 Basket Rd","770 Basket Rd, Webster, NY 14580, USA",Calvary Chapel of Webster North Entrance
18,"Campbell St Recreation Center, 524 Campbell St","524 Campbell St, Rochester, NY 14611, USA",Campbell St Recreation Center
19,"Carter St Recreation Center, 500 Carter St","500 Carter St, Rochester, NY 14621, USA",Carter St Recreation Center
20,"Chili Community Center, 3237 Chili Ave","3237 Chili Ave, Rochester, NY 14624, USA",Chili Community Center
21,"Chili Town Hall, 3333 Chili Ave","3333 Chili Ave, Rochester, NY 14624, USA",Chili Town Hall
22,"Church of St John of Rochester Parish CE, 10 Wickford Way","8 Wickford Way, Fairport, NY 14450, USA",Church of St John of Rochester Parish CE
23,"Church of the Assumption Fellowship Hall, 20 East Ave","20 East Ave, Rochester, NY 14604, USA",Church of the Assumption Fellowship Hall
24,"Church of the Holy Spirit, 1335 Hatch Rd","1355 Hatch Rd, Webster, NY 14580, USA",Church of the Holy Spirit
25,"Church of the Resurrection, 63 Mason Rd","63 Mason Rd, Fairport, NY 14450, USA",Church of the Resurrection
26,"Church of the Transfiguration, 50 W Bloomfield Rd","50 W Bloomfield Rd, Pittsford, NY 14534, USA",Church of the Transfiguration
27,"Clifton Fire House, 53 Wheatland Center Rd","53 Wheatland Center Rd, Clifton, NY 14428, USA",Clifton Fire House
28,"College Green Apartments, 45 College Green Dr","45 College Greene Dr, North Chili, NY 14514, USA",College Green Apartments
29,"Community Christian Church, 2647 Chili Ave","2647 Chili Ave, Rochester, NY 14624, USA",Community Christian Church
30,"Community Place of Greater Rochester, 145 Parsells Ave","145 Parsells Ave, Rochester, NY 14609, USA",Community Place of Greater Rochester
31,"Cornerstone Bible Chapel Comm Room, 3231 Buffalo Rd","3231 Buffalo Rd, Rochester, NY 14624, USA",Cornerstone Bible Chapel Comm Room
32,"Crosstown Alliance Church, 595 English Rd","595 English Rd, Rochester, NY 14616, USA",Crosstown Alliance Church
33,"Culver Station, 2960 Culver Rd","2960 Culver Rd, Rochester, NY 14622, USA",Culver Station
34,"Danforth Towers, 160 West Ave","160 West Ave, Rochester, NY 14611, USA",Danforth Towers
35,"David F Gantt Community Center, 700 North St","700 North St, Rochester, NY 14605",David F Gantt Community Center
36,"Dolomite Lodge at Veterans Memorial Park, 3100 Atlantic Ave","3100 Atlantic Ave, Penfield, NY 14526, USA",Dolomite Lodge at Veterans Memorial Park
37,"Dome Arena, 2695 E Henrietta Rd","2695 E Henrietta Rd, Henrietta, NY 14467, USA",Dome Arena
38,"E L Tower Apts Comm Room, 500 South Ave","500 South Ave, Rochester, NY 14620, USA",E L Tower Apts Comm Room
39,"East High School Auditorium Foyer, 1801 E Main St","1801 E Main St, Rochester, NY 14609, USA",East High School Auditorium Foyer
40,"East Rochester Municipal Center Community Room, 317 Main St","317 Main St, East Rochester, NY 14445, USA",East Rochester Municipal Center Community Room
41,"Edgerton Recreation Center, 41 Backus St","41 Backus St, Rochester, NY 14608, USA",Edgerton Recreation Center
42,"Egypt Fire House, 7478 Pittsford Palmyra Rd","7478 Pittsford Palmyra Rd, Fairport, NY 14450, USA",Egypt Fire House
43,"Eisenhart Auditorium Lobby, 657 East Ave","657 East Ave, Rochester, NY 14607, USA",Eisenhart Auditorium Lobby
44,"Empire State University, 680 Westfall Rd","680 Westfall Rd, Rochester, NY 14620",Empire State University
45,"Empire Station Meeting Hall, 405 Empire Blvd","405 Empire Blvd, Irondequoit, NY 14609, USA",Empire Station Meeting Hall
46,"Encounter Church, 3355 Union St","3355 Union St, North Chili, NY 14514, USA",Encounter Church
47,"Engine 9, 740 N Goodman St","740 N Goodman St, Rochester, NY 14609, USA",Engine 9
48,"Engine 16, 704 Hudson Ave","704 Hudson Ave #16, Rochester, NY 14621, USA",Engine 16
49,"Faith Bible Church, 1095 East Henrietta Rd","1095 E Henrietta Rd, Rochester, NY 14623, USA",Faith Bible Church
50,"Fellows Rd Park Recreation Building, 499 Fellows Rd","499 Fellows Rd, Fairport, NY 14450, USA",Fellows Rd Park Recreation Building
51,"Finn Park Liberty Lodge, 850 Maple Dr","850 Maple Dr, Webster, NY 14580, USA",Finn Park Liberty Lodge
52,"Fire Hall No. 2 Lower Level Meeting Room, 465 Mendon Rd","465 Mendon Rd, Pittsford, NY 14534, USA",Fire Hall No. 2 Lower Level Meeting Room
53,"Fire House No. 1 Meeting Room, 3100 East Ave","3100 East Ave, Rochester, NY 14610, USA",Fire House No. 1 Meeting Room
54,"First Bible Baptist Church, 990 Manitou Rd","990 Manitou Rd, Hilton, NY 14468, USA",First Bible Baptist Church
55,"Former Marshall High School, 180 Ridgeway Ave","180 Ridgeway Ave, Rochester, NY 14615, USA",Former Marshall High School
56,"Frederick Douglass Mid School Gym, 940 Fernwood Park","940 Fernwood Park, Rochester, NY 14609, USA",Frederick Douglass Mid School Gym
57,"Gates Fire House No. 2 Community Room, 2215 Long Pond Road","2215 Long Pond Rd, Rochester, NY 14606, USA",Gates Fire House No. 2 Community Room
58,"Gates Town Hall Community Center, 1605 Buffalo Rd","1605 Buffalo Rd, Rochester, NY 14624, USA",Gates Town Hall Community Center
59,"Gates Town Hall Annex Meeting Room, 1605 Buffalo Rd","1605 Buffalo Rd, Rochester, NY 14624, USA",Gates Town Hall Annex Meeting Room
60,"Gates-Chili Fire House No. 1, 2355 Chili Ave","2355 Chili Ave #1, Rochester, NY 14624, USA",Gates-Chili Fire House No. 1
61,"Genesee Park Blvd 7th Day Adventist Church, 391 Genesee Park Blvd","391 Genesee Park Blvd, Rochester, NY 14619, USA",Genesee Park Blvd 7th Day Adventist Church
62,"Glenwood Apts Community Room, 41 Kestrel St","41 Kestrel St, Rochester, NY 14613, USA",Glenwood Apts Community Room
63,"Grace Church, 805 Blossom Rd","805 Blossom Rd, Rochester, NY 14610, USA",Grace Church
64,"Grace Church of the Nazarene, 2924 Union St","2924 S Union St, Rochester, NY 14624, USA",Grace Church of the Nazarene
65,"Grace Covenant Church, 224 Chestnut Ridge Rd","224 Chestnut Ridge Rd, Rochester, NY 14624, USA",Grace Covenant Church
66,"Greater Harvest Church, 121 Driving Park Ave","121 Driving Park Ave, Rochester, NY 14613, USA",Greater Harvest Church
67,"Greece Assembly of God, 750 Long Pond Rd","750 Long Pond Rd, Rochester, NY 14612, USA",Greece Assembly of God
68,"Greece Baptist Church Fellowship Hall, 1230 Long Pond Rd","1230 Long Pond Rd, Rochester, NY 14626, USA",Greece Baptist Church Fellowship Hall
69,"Greece Canal Park -- Millenium Lodge, 241 Elmgrove Rd","241 Elmgrove Rd, Rochester, NY 14626, USA",Greece Canal Park -- Millenium Lodge
70,"Greece Community and Senior Center, 3 Vince Tofany Blvd","3 Vince Tofany Blvd, Rochester, NY 14612, USA",Greece Community and Senior Center
71,"Greece Post 468, 344 Dorsey Rd","344 Dorsey Rd, Rochester, NY 14616, USA",Greece Post 468
72,"Greece United Methodist Church, 1924 Maiden Ln","1924 Maiden Ln # 1, Rochester, NY 14626, USA",Greece United Methodist Church
73,"Greek Orthodox Church, 835 South Ave","835 South Ave, Rochester, NY 14620, USA",Greek Orthodox Church
74,"Hamlin Firemen's Exempt Building, 1382 Lake Rd","1382 Lake Rd N, Hamlin, NY 14464, USA",Hamlin Firemen's Exempt Building
75,"Hamlin Town Hall Gym, 1658 Lake Rd","1658 Lake Rd N, Hamlin, NY 14464, USA",Hamlin Town Hall Gym
76,"Harris Beach LLP Cafeteria, 99 Garnsey Rd","99 Garnsey Rd, Pittsford, NY 14534, USA",Harris Beach LLP Cafeteria
77,"Harris-Whalen Park Lower Shelter, Harris-Whalen Park Rd","Harris Whalen Park Rd, Penfield, NY 14526, USA",Harris-Whalen Park Lower Shelter
78,"Henrietta Fire District Station 1, 3129 East Henrietta Rd","3129 E Henrietta Rd, Henrietta, NY 14467, USA",Henrietta Fire District Station 1
79,"Henrietta Public Library, 625 Calkins Rd","625 Calkins Rd, Rochester, NY 14623, USA",Henrietta Public Library
